"contrast","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","celltype","region","weight","p_adj"
"Amyloid_effect",0.345487953126471,0.286257134173924,Inf,-0.215565720172069,0.906541626425011,1.20691473462653,0.22746498255211,"InhNeuron3","Capillaries",0.433333333333333,0.268292030702489
"AD_overall_vs_Control",0.10767598688606,0.256621893818543,Inf,-0.395293682642745,0.610645656414866,0.419590025168303,0.674784976480164,"InhNeuron3","Capillaries",0.433333333333333,0.795900228668911
"Disease_effect",-1.90351705789705,0.32976577722228,Inf,-2.54984610458658,-1.25718801120752,-5.77233051267772,7.81825697379378e-09,"InhNeuron4","Capillaries",0.433333333333333,3.59639820794514e-07
"Amyloid_effect",2.03039435001725,0.331220565302125,Inf,1.38121397108609,2.67957472894841,6.13003708922848,8.78585887747346e-10,"InhNeuron4","Capillaries",0.433333333333333,4.04149508363779e-08
"AD_overall_vs_Control",-1.02367950622291,0.255153389541912,Inf,-1.52377096025837,-0.523588052187441,-4.01201609769231,6.02023937461165e-05,"InhNeuron4","Capillaries",0.433333333333333,0.000923103370773786
"Disease_effect",0.293051781434441,0.123594738764308,Inf,0.0508105447777611,0.53529301809112,2.37107003392178,0.0177366699313446,"InhNeuron5","Capillaries",0.433333333333333,0.0479933421671678
"Amyloid_effect",-0.496123696657698,0.127757055012513,Inf,-0.746522923253126,-0.245724470062271,-3.88333698369227,0.000103032617430051,"InhNeuron5","Capillaries",0.433333333333333,0.000677071485968908
"AD_overall_vs_Control",0.0780648462161047,0.116846211889078,Inf,-0.150949520816424,0.307079213248634,0.668099076161848,0.504070351516496,"InhNeuron5","Capillaries",0.433333333333333,0.702643520295721
"Disease_effect",-0.886665821954728,0.282929450103949,Inf,-1.44119735432419,-0.332134289585266,-3.13387603032828,0.00172513722713825,"Microglia1","Capillaries",0.433333333333333,0.00566830803202568
"Amyloid_effect",0.624929861471783,0.286336166487545,Inf,0.0637212876849298,1.18613843525864,2.18250411443909,0.0290723479327944,"Microglia1","Capillaries",0.433333333333333,0.0461147587899498
"AD_overall_vs_Control",-0.615862881983622,0.240239301740834,Inf,-1.08672326106671,-0.145002502900538,-2.56353926073264,0.0103610981997298,"Microglia1","Capillaries",0.433333333333333,0.0458736753712563
"Disease_effect",-0.0894760559471379,0.372249214449042,Inf,-0.819071109540586,0.640118997646311,-0.24036600340331,0.810046531071636,"Microglia2","Capillaries",0.433333333333333,0.887193819745125
"Amyloid_effect",0.266938495787503,0.363040616791556,Inf,-0.444608038049155,0.978485029624161,0.735285484435942,0.462165646577092,"Microglia2","Capillaries",0.433333333333333,0.506181422441577
