"contrast","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","celltype","region","p_adj"
"AD_Amyloid_vs_Control",0.0693363162497153,0.0720766192283269,Inf,-0.0719312615652125,0.210603894064643,0.961980694877895,0.336059301418693,"VLMC1","Arteries",0.81361725606631
"AD_Amyloid_vs_Control",0.538562568897856,0.306236181042725,Inf,-0.0616493167089718,1.13877445450468,1.75865100937475,0.0786368032759521,"VLMC2","Arteries",0.602882158448966
"AD_Amyloid_vs_Control",-0.107574220341926,0.10587994801552,Inf,-0.315095105137318,0.0999466644534656,-1.01600182431293,0.30962851781407,"Astrocytes1","Capillaries",0.678233896164153
"AD_Amyloid_vs_Control",0.0226530121638055,0.0706391039137637,Inf,-0.115797087407354,0.161103111734965,0.320686573140287,0.748447923406741,"Astrocytes2","Capillaries",0.848675414298159
"AD_Amyloid_vs_Control",-0.0802397240487288,0.13516618503622,Inf,-0.345160578647396,0.184681130549939,-0.59363755829335,0.552754554833262,"Astrocytes3","Capillaries",0.847556984077669
"AD_Amyloid_vs_Control",0.102296329897609,0.125227880563191,Inf,-0.14314580586653,0.347738465661747,0.816881427981917,0.413996192184041,"Astrocytes4","Capillaries",0.73245480155638
"AD_Amyloid_vs_Control",-0.017995994977045,0.122630917009981,Inf,-0.258348175707728,0.222356185753638,-0.146749249013447,0.883329944282787,"Astrocytes5","Capillaries",0.938776500851601
"AD_Amyloid_vs_Control",-0.0351889634800719,0.0477990341126865,Inf,-0.128873348836739,0.058495421876595,-0.736185660093334,0.461617717895784,"Endothelial","Capillaries",0.786459815674299
"AD_Amyloid_vs_Control",-0.0327341601619791,0.0769155291265027,Inf,-0.183485827101766,0.118017506777808,-0.42558584116533,0.670409659243299,"ExNeuron1","Capillaries",0.848675414298159
"AD_Amyloid_vs_Control",-0.0358862329062401,0.0777433576836455,Inf,-0.1882604140034,0.11648794819092,-0.461598700846816,0.644369126404606,"ExNeuron10","Capillaries",0.848675414298159
"AD_Amyloid_vs_Control",0.155494211995715,0.128002152507547,Inf,-0.0953853968626805,0.406373820854111,1.21477810294282,0.224450734559692,"ExNeuron11","Capillaries",0.603060223975845
"AD_Amyloid_vs_Control",-0.268935883063396,0.553453929796488,Inf,-1.35368565256667,0.815813886439879,-0.485922799685038,0.627021902561152,"ExNeuron12","Capillaries",0.848675414298159
"AD_Amyloid_vs_Control",0.159070534316519,0.303073605904051,Inf,-0.434942817920108,0.753083886553145,0.524857761341574,0.599682074183489,"ExNeuron13","Capillaries",0.848675414298159
"AD_Amyloid_vs_Control",0.375068964190054,0.602864800390105,Inf,-0.806524332121481,1.55666226050159,0.622144407746732,0.533846916855339,"ExNeuron14","Capillaries",0.846791661218813
"AD_Amyloid_vs_Control",-0.100790181415796,0.086084824264523,Inf,-0.269513336589721,0.0679329737581287,-1.17082403637238,0.241669514131054,"ExNeuron2","Capillaries",0.603060223975845
"AD_Amyloid_vs_Control",-0.103968309413607,0.0762343651009228,Inf,-0.253384919395693,0.0454483005684792,-1.36379845593216,0.172631006403965,"ExNeuron3","Capillaries",0.603060223975845
"AD_Amyloid_vs_Control",0.322339392863341,0.118191424589767,Inf,0.0906884573859151,0.553990328340766,2.72726548463354,0.00638616346605672,"ExNeuron4","Capillaries",0.0910003498701171
