"celltype","region","contrast","type","log2_OR","odds.ratio","SE","p.value","p_adj","estimate"
"InhNeuron1","Arteries","AD_overall_vs_Control","Overall",-0.0538949270630436,NA,0.258737935848176,0.885198780702219,0.963391462187811,-0.0373571167402326
"InhNeuron2","Arteries","AD_overall_vs_Control","Overall",-0.915819676742342,NA,0.262563243653208,0.0156191649838655,0.0653165081143466,-0.634797826835275
"InhNeuron3","Arteries","AD_overall_vs_Control","Overall",-0.0929046766961126,NA,0.204753739219797,0.753135516957851,0.954353867377524,-0.0643966147127437
"InhNeuron4","Arteries","AD_overall_vs_Control","Overall",-0.841749895892813,NA,0.289691748762519,0.0440032331743588,0.144582051858607,-0.583456567074731
"InhNeuron5","Arteries","AD_overall_vs_Control","Overall",0.0116307147126203,NA,0.175645521404252,0.963391462187811,0.963391462187811,0.00806179711094981
"Microglia1","Arteries","AD_overall_vs_Control","Overall",0.132275621815846,NA,0.198392907008326,0.64397667549682,0.954353867377524,0.0916864743184674
"Microglia2","Arteries","AD_overall_vs_Control","Overall",0.0553469906297102,NA,0.302328877490402,0.899024583726138,0.963391462187811,0.0383636105074614
"Microglia3","Arteries","AD_overall_vs_Control","Overall",-0.311162974806132,NA,0.153683194523505,0.160492272745134,0.335574752103461,-0.215681738681516
"Microglia4","Arteries","AD_overall_vs_Control","Overall",-0.029812062589124,NA,0.178009582906273,0.907585600999917,0.963391462187811,-0.0206641471303279
"Microglia5","Arteries","AD_overall_vs_Control","Overall",-1.01462283699872,NA,0.268546727282931,0.00882273473209914,0.0463786665384301,-0.703282958797399
"Oligodendrocytes1","Arteries","AD_overall_vs_Control","Overall",0.948780045334906,NA,0.31502429213522,0.0368340749773355,0.13033595761211,0.657644213395427
"Oligodendrocytes2","Arteries","AD_overall_vs_Control","Overall",-0.689377852826986,NA,0.18495627881561,0.00977946243294542,0.0463786665384301,-0.477840315027494
"Oligodendrocytes3","Arteries","AD_overall_vs_Control","Overall",-1.01850739468296,NA,0.221855516326643,0.00146190641157246,0.0135483100652547,-0.705975529003948
"Oligodendrocytes4","Arteries","AD_overall_vs_Control","Overall",-0.297598400011318,NA,0.202831256683496,0.309153185821685,0.543820181932134,-0.206279491906996
"Oligodendrocytes5","Arteries","AD_overall_vs_Control","Overall",-0.635739901516004,NA,0.289176147414214,0.127545971707535,0.293355734927329,-0.440661320305275
"Oligodendrocytes6","Arteries","AD_overall_vs_Control","Overall",-0.42808027979938,NA,0.183855852007203,0.106551856856757,0.288316789141813,-0.296722638996253
"Oligodendrocytes7","Arteries","AD_overall_vs_Control","Overall",-1.22443298926078,NA,0.259657160089534,0.00108085565538278,0.0135483100652547,-0.848712274290698
"Oligodendrocytes8","Arteries","AD_overall_vs_Control","Overall",-0.286495341349235,NA,0.372313209189064,0.593772383598025,0.910450988183639,-0.198583438099781
"OPC1","Arteries","AD_overall_vs_Control","Overall",-0.789813700632352,NA,0.19320285214584,0.00460287398814057,0.0352887005757444,-0.547457139760931
"OPC2","Arteries","AD_overall_vs_Control","Overall",0.102571442552971,NA,0.195870457675307,0.716619643497638,0.954353867377524,0.0710971062115584
"OPC3","Arteries","AD_overall_vs_Control","Overall",0.594688156180006,NA,0.268517641277066,0.124754704445861,0.293355734927329,0.412206418768563
"Pericytes","Arteries","AD_overall_vs_Control","Overall",-1.07558089818186,NA,0.283036521798661,0.00843699745528485,0.0463786665384301,-0.745535867038893
"SMC","Arteries","AD_overall_vs_Control","Overall",-0.505949290600013,NA,0.240832253842273,0.14534032743436,0.318364526760979,-0.350697324285704
"VLMC1","Arteries","AD_overall_vs_Control","Overall",-0.403420910195502,NA,0.168059443817737,0.0961372223813706,0.276394514346441,-0.279630066480939
"VLMC2","Arteries","AD_overall_vs_Control","Overall",0.443704950053195,NA,0.251972016846901,0.222243833572617,0.408928653773615,0.307552835129863
"Astrocytes1","Capillaries","AD_overall_vs_Control","Overall",0.227335876504995,NA,0.182019326434358,0.386645385248655,0.68493607227796,0.157577221839561
"Astrocytes2","Capillaries","AD_overall_vs_Control","Overall",-0.433460047334686,NA,0.230185368119835,0.191804542386858,0.490167163877527,-0.300451609695418
"Astrocytes3","Capillaries","AD_overall_vs_Control","Overall",0.42188807449541,NA,0.175915098737897,0.0964448222153955,0.299031734761502,0.292430529348358
"Astrocytes4","Capillaries","AD_overall_vs_Control","Overall",0.284442492719036,NA,0.167938635674988,0.240393705309719,0.526576687821288,0.197160511859642
"Astrocytes5","Capillaries","AD_overall_vs_Control","Overall",0.377712902097576,NA,0.194344398538885,0.177932628940195,0.481464760661703,0.261810633150049
"Endothelial","Capillaries","AD_overall_vs_Control","Overall",0.154024952944949,NA,0.102502781330027,0.297619500665886,0.595239001331772,0.10676196186967
"ExNeuron1","Capillaries","AD_overall_vs_Control","Overall",0.0504455576290381,NA,0.227542812826602,0.877871007651178,0.932289241571601,0.034966196042342
"ExNeuron10","Capillaries","AD_overall_vs_Control","Overall",-0.524051816201908,NA,0.287743472996989,0.20680779083088,0.49432332481333,-0.363245038867671
"ExNeuron11","Capillaries","AD_overall_vs_Control","Overall",-0.0467461487117906,NA,0.238102763414888,0.891754926720661,0.932289241571601,-0.0324019611816136
"ExNeuron12","Capillaries","AD_overall_vs_Control","Overall",-0.248076834902659,NA,0.331971497498599,0.604473983993321,0.774931915835608,-0.171953758675013
"ExNeuron13","Capillaries","AD_overall_vs_Control","Overall",-0.229114835486496,NA,0.374179545356857,0.671257550505662,0.795900228668911,-0.15881030224192
"ExNeuron14","Capillaries","AD_overall_vs_Control","Overall",-0.186331152548057,NA,0.388587033694762,0.739609421114488,0.836632377481653,-0.129154913039171
"ExNeuron2","Capillaries","AD_overall_vs_Control","Overall",0.220333238589041,NA,0.179112069761454,0.393842720306906,0.68493607227796,0.152723363111636
"ExNeuron3","Capillaries","AD_overall_vs_Control","Overall",0.160208403176604,NA,0.156937206927962,0.479196719474747,0.702643520295721,0.111048002963874
"ExNeuron4","Capillaries","AD_overall_vs_Control","Overall",-0.232758950642327,NA,0.21396411304907,0.450828821966586,0.691270860348766,-0.16133621038782
"ExNeuron5","Capillaries","AD_overall_vs_Control","Overall",0.108457497720668,NA,0.14594048005004,0.606468455871346,0.774931915835608,0.0751770087556679
"ExNeuron6","Capillaries","AD_overall_vs_Control","Overall",-0.455713477701746,NA,0.386909040257178,0.414265527412934,0.68493607227796,-0.315876512212133
"ExNeuron7","Capillaries","AD_overall_vs_Control","Overall",-1.08860463770976,NA,0.320757775542972,0.0186507275310068,0.0714944555355261,-0.754563235372997
"ExNeuron8","Capillaries","AD_overall_vs_Control","Overall",0.166793502988778,NA,0.148367605805177,0.435844412250995,0.691270860348766,0.115612446332388
"ExNeuron9","Capillaries","AD_overall_vs_Control","Overall",-0.394891358239528,NA,0.337182084314284,0.416917609212671,0.68493607227796,-0.273717831591216
"Fibroblast","Capillaries","AD_overall_vs_Control","Overall",-0.816875253231195,NA,0.194098636831448,0.00353246197730017,0.0259999797698124,-0.566214778646394
"InhNeuron1","Capillaries","AD_overall_vs_Control","Overall",-2.03199429664542,NA,0.308141545982109,4.8573235070043e-06,0.000223436881322198,-1.40847111763366
"InhNeuron2","Capillaries","AD_overall_vs_Control","Overall",-0.772526647428717,NA,0.376403768465229,0.154850089188855,0.445194006417958,-0.535474667572642
"InhNeuron3","Capillaries","AD_overall_vs_Control","Overall",0.155343612303344,NA,0.256621893818543,0.674784976480164,0.795900228668911,0.10767598688606
"InhNeuron4","Capillaries","AD_overall_vs_Control","Overall",-1.47685734708745,NA,0.255153389541912,6.02023937461165e-05,0.000923103370773786,-1.02367950622291
"InhNeuron5","Capillaries","AD_overall_vs_Control","Overall",0.112623766503734,NA,0.116846211889078,0.504070351516496,0.702643520295721,0.0780648462161047
"Microglia1","Capillaries","AD_overall_vs_Control","Overall",-0.888502325705357,NA,0.240239301740834,0.0103610981997298,0.0458736753712563,-0.615862881983622
"Microglia2","Capillaries","AD_overall_vs_Control","Overall",0.0377947035812564,NA,0.3368133655148,0.938003177191069,0.958847692239759,0.0261972922274468
"Microglia3","Capillaries","AD_overall_vs_Control","Overall",-0.883376702092251,NA,0.219414317146615,0.00526012043751242,0.0302456925156964,-0.612310070427587
"Microglia4","Capillaries","AD_overall_vs_Control","Overall",0.278069211014802,NA,0.155420120524574,0.214923184701448,0.49432332481333,0.192742889615439
"Microglia5","Capillaries","AD_overall_vs_Control","Overall",-0.230353790909766,NA,0.23412594880342,0.495251958972938,0.702643520295721,-0.1596690807004
"Oligodendrocytes1","Capillaries","AD_overall_vs_Control","Overall",-0.587641124492189,NA,0.456261207251794,0.37199741215265,0.68493607227796,-0.407321788622837
"Oligodendrocytes2","Capillaries","AD_overall_vs_Control","Overall",0.0984806911382551,NA,0.15763382788914,0.664986353196552,0.795900228668911,0.0682616134020763
"Oligodendrocytes3","Capillaries","AD_overall_vs_Control","Overall",-1.17438121089612,NA,0.302961858667984,0.00721250917042954,0.0368639357599732,-0.814019025235221
"Oligodendrocytes4","Capillaries","AD_overall_vs_Control","Overall",-1.29703987451587,NA,0.283292605493837,0.00150593767006966,0.0138546265646409,-0.8990395320945
"Oligodendrocytes5","Capillaries","AD_overall_vs_Control","Overall",0.116166666073963,NA,0.322147928755784,0.80262668240001,0.879067318819059,0.0805205970642161
"Oligodendrocytes6","Capillaries","AD_overall_vs_Control","Overall",0.301340683193901,NA,0.195249776541986,0.28472033213278,0.595239001331772,0.20887344494386
"Oligodendrocytes7","Capillaries","AD_overall_vs_Control","Overall",-0.162148449813582,NA,0.211363277438597,0.594898114588816,0.774931915835608,-0.11239274082045
"Oligodendrocytes8","Capillaries","AD_overall_vs_Control","Overall",0.0558432402828093,NA,0.88039446401328,0.964931359448245,0.964931359448245,0.0387075845553608
"OPC1","Capillaries","AD_overall_vs_Control","Overall",-0.0798427276773202,NA,0.170641272471211,0.745694075581473,0.836632377481653,-0.05534276157775
