"contrast","odds.ratio","SE","df","asymp.LCL","asymp.UCL","null","z.ratio","p.value","celltype","region","p_adj"
"Disease_effect",1.75576768483138,0.38167015170531,Inf,1.14665348336417,2.68844965617141,1,2.5894938102823,0.00961171507932824,"Microglia2","Capillaries",0.0398102461082304
"Disease_effect",1.89240854811745,0.375908858388086,Inf,1.28212939062979,2.7931737148845,1,3.21108026076867,0.00132236995699455,"Microglia3","Capillaries",0.0152072545054374
"Disease_effect",1.82087298259754,0.655415578627211,Inf,0.899276476969761,3.68694000528733,1,1.66501748408728,0.0959092676691069,"Microglia4","Capillaries",0.156384104051587
"Disease_effect",1.3997849689825,0.407113837123031,Inf,0.791585152666029,2.47528386906974,1,1.1563688626409,0.24753031214673,"Microglia5","Capillaries",0.307740388074313
"Disease_effect",1.7450288551334,0.588221259137425,Inf,0.901314203138544,3.37853957548265,1,1.65172816371954,0.0985899786412179,"Oligodendrocytes1","Capillaries",0.156384104051587
"Disease_effect",1.21376453414742,0.46232350483982,Inf,0.575322500252935,2.56069307858882,1,0.508601906853417,0.611031292106878,"Oligodendrocytes2","Capillaries",0.611031292106878
"Disease_effect",1.78218389722295,0.433438712755945,Inf,1.10645757126716,2.87058403864804,1,2.37592134453033,0.0175051938671666,"Oligodendrocytes3","Capillaries",0.0536825945259775
"Disease_effect",1.60880880405771,0.528476884485843,Inf,0.845071820328562,3.06277609281457,1,1.44751645200197,0.147752332025343,"Oligodendrocytes4","Capillaries",0.19990021391664
"Disease_effect",1.70778841456905,0.535817821235442,Inf,0.923357698583325,3.15862560458532,1,1.70581673802039,0.0880422057327703,"Oligodendrocytes5","Capillaries",0.149997831989164
"Disease_effect",1.70314545486296,0.797701882697614,Inf,0.680102936494224,4.26509618584037,1,1.13687265471658,0.255591525061799,"Oligodendrocytes6","Capillaries",0.309400267180072
"Disease_effect",1.71151651179566,0.571782099552116,Inf,0.889226397347269,3.29419906886235,1,1.60854011848304,0.107716937071714,"Oligodendrocytes7","Capillaries",0.159838035654802
"Disease_effect",2.6807645619882,0.650745072104891,Inf,1.6658382933147,4.31404336522484,1,4.06227801288663,4.85961523924056e-05,"Oligodendrocytes8","Capillaries",0.00111771150502533
"Disease_effect",1.66422743765844,0.453652814712434,Inf,0.975400801883381,2.8395024475142,1,1.86859322427511,0.0616794291704657,"OPC1","Capillaries",0.12896607917461
"Disease_effect",1.98239667460845,0.501815992021479,Inf,1.20703758902788,3.25581954631894,1,2.70331567644528,0.00686515123944668,"OPC2","Capillaries",0.0315796957014547
"Disease_effect",1.72175568545866,0.427629261152363,Inf,1.05818153690417,2.80144997528687,1,2.18765785526347,0.0286945341360021,"OPC3","Capillaries",0.0659974285128047
"Disease_effect",1.43020574008874,0.279039961134965,Inf,0.975719615392035,2.09638960487735,1,1.83398032341847,0.0666569150100623,"Pericytes","Capillaries",0.128971875207108
"Disease_effect",1.65244836244296,0.363657181146081,Inf,1.07350110309881,2.54362625493182,1,2.28224692250289,0.022474766250965,"SMC","Capillaries",0.0608140733849641
"Disease_effect",1.34118930732888,0.368698732506563,Inf,0.782512172846033,2.29873581589286,1,1.06785067880148,0.285587873459236,"VLMC1","Capillaries",0.328426054478122
"Disease_effect",1.63482636100301,0.447874342798714,Inf,0.95560377394321,2.79682573835164,1,1.79420187803068,0.0727809525088314,"VLMC2","Capillaries",0.128971875207108
