"region","celltype_1","celltype_2","r","p.value","p_adj","n"
"Arteries","Microglia1","OPC1",0.284528735260637,0.715471264739363,0.954820189495818,4
"Arteries","Microglia1","OPC2",0.931846454901645,0.0681535450983549,0.797938550700514,4
"Arteries","Microglia1","OPC3",0.602176207681036,0.397823792318964,0.891037965234946,4
"Arteries","Microglia1","Pericytes",0.0706924852122655,0.929307514787735,0.988641232323489,4
"Arteries","Microglia1","SMC",0.592453110116235,0.407546889883765,0.891037965234946,4
"Arteries","Microglia1","VLMC1",0.971721163273562,0.0282788367264377,0.761562856670632,4
"Arteries","Microglia1","VLMC2",0.0463198641007563,0.953680135899244,0.993629604746381,4
"Arteries","Microglia2","Microglia3",0.297967580832936,0.702032419167064,0.953547970915894,4
"Arteries","Microglia2","Microglia4",0.0965229699858105,0.903477030014189,0.977266292094293,4
"Arteries","Microglia2","Microglia5",0.115700911204279,0.884299088795721,0.977266292094293,4
"Arteries","Microglia2","Oligodendrocytes1",-0.557134476354997,0.442865523645003,0.903421216954479,4
"Arteries","Microglia2","Oligodendrocytes2",0.839468308626514,0.160531691373486,0.860610156535694,4
"Arteries","Microglia2","Oligodendrocytes3",0.644785483811765,0.355214516188235,0.883590418131482,4
"Arteries","Microglia2","Oligodendrocytes4",0.346219233231398,0.653780766768602,0.941008979649141,4
"Arteries","Microglia2","Oligodendrocytes5",0.281986263959724,0.718013736040276,0.954820189495818,4
"Arteries","Microglia2","Oligodendrocytes6",0.577421480306118,0.422578519693882,0.903421216954479,4
"Arteries","Microglia2","Oligodendrocytes7",0.0464439940002134,0.953556005999787,0.993629604746381,4
"Arteries","Microglia2","Oligodendrocytes8",0.821823024573595,0.178176975426405,0.869181334725044,4
"Arteries","Microglia2","OPC1",-0.650953097555692,0.349046902444308,0.880194915271871,4
"Arteries","Microglia2","OPC2",0.171785118995806,0.828214881004194,0.97510263871957,4
"Arteries","Microglia2","OPC3",-0.490988948498678,0.509011051501322,0.908957828039735,4
"Arteries","Microglia2","Pericytes",0.74698253980371,0.25301746019629,0.869181334725044,4
"Arteries","Microglia2","SMC",0.409388279956092,0.590611720043908,0.919915992850152,4
"Arteries","Microglia2","VLMC1",0.436132494747932,0.563867505252068,0.912639587855679,4
"Arteries","Microglia2","VLMC2",0.823223773186502,0.176776226813498,0.869181334725044,4
"Arteries","Microglia3","Microglia4",0.0808612153184641,0.919138784681536,0.985056639637771,4
"Arteries","Microglia3","Microglia5",0.53388702429595,0.46611297570405,0.903421216954479,4
"Arteries","Microglia3","Oligodendrocytes1",-0.688420233985025,0.311579766014975,0.872944789904888,4
"Arteries","Microglia3","Oligodendrocytes2",-0.0594748991595101,0.94052510084049,0.991885309455043,4
"Arteries","Microglia3","Oligodendrocytes3",0.406684007546157,0.593315992453843,0.919915992850152,4
"Arteries","Microglia3","Oligodendrocytes4",0.688929688224698,0.311070311775302,0.872944789904888,4
"Arteries","Microglia3","Oligodendrocytes5",0.602599855838363,0.397400144161637,0.891037965234946,4
"Arteries","Microglia3","Oligodendrocytes6",0.405719991124855,0.594280008875145,0.919915992850152,4
"Arteries","Microglia3","Oligodendrocytes7",-0.365864052871855,0.634135947128145,0.935872950329636,4
"Arteries","Microglia3","Oligodendrocytes8",-0.239875102390829,0.760124897609171,0.972471284333117,4
"Arteries","Microglia3","OPC1",-0.15645289602834,0.84354710397166,0.97510263871957,4
"Arteries","Microglia3","OPC2",0.453181343809127,0.546818656190873,0.912639587855679,4
"Arteries","Microglia3","OPC3",0.517621412737968,0.482378587262032,0.90810940311922,4
"Arteries","Microglia3","Pericytes",0.502406432455892,0.497593567544108,0.90810940311922,4
"Arteries","Microglia3","SMC",0.973928605862445,0.026071394137555,0.761562856670632,4
"Arteries","Microglia3","VLMC1",0.855602909382038,0.144397090617962,0.8341377380663,4
"Arteries","Microglia3","VLMC2",-0.285090861882063,0.714909138117937,0.954820189495818,4
"Arteries","Microglia4","Microglia5",0.878849508481443,0.121150491518557,0.797938550700514,4
"Arteries","Microglia4","Oligodendrocytes1",0.53707807375851,0.46292192624149,0.903421216954479,4
"Arteries","Microglia4","Oligodendrocytes2",-0.369984793198204,0.630015206801796,0.935872950329636,4
"Arteries","Microglia4","Oligodendrocytes3",0.800567881571307,0.199432118428693,0.869181334725044,4
"Arteries","Microglia4","Oligodendrocytes4",0.77216534234147,0.22783465765853,0.869181334725044,4
"Arteries","Microglia4","Oligodendrocytes5",0.842788521402204,0.157211478597796,0.851905132715806,4
"Arteries","Microglia4","Oligodendrocytes6",0.84317799951936,0.15682200048064,0.851905132715806,4
"Arteries","Microglia4","Oligodendrocytes7",0.893430308608984,0.106569691391016,0.797938550700514,4
"Arteries","Microglia4","Oligodendrocytes8",0.308330678918302,0.691669321081698,0.950171621084159,4
"Arteries","Microglia4","OPC1",0.692737944571155,0.307262055428844,0.872944789904888,4
"Arteries","Microglia4","OPC2",0.924660485442,0.075339514558,0.797938550700514,4
"Arteries","Microglia4","OPC3",0.511920906564298,0.488079093435702,0.90810940311922,4
"Arteries","Microglia4","Pericytes",-0.504945939534108,0.495054060465892,0.90810940311922,4
"Arteries","Microglia4","SMC",-0.100006356768115,0.899993643231885,0.977266292094293,4
"Arteries","Microglia4","VLMC1",0.562192793589695,0.437807206410305,0.903421216954479,4
"Arteries","Microglia4","VLMC2",0.164970751187333,0.835029248812667,0.97510263871957,4
"Arteries","Microglia5","Oligodendrocytes1",0.176569878191638,0.823430121808362,0.97510263871957,4
"Arteries","Microglia5","Oligodendrocytes2",-0.440689665944039,0.559310334055961,0.912639587855679,4
"Arteries","Microglia5","Oligodendrocytes3",0.8090398684625,0.1909601315375,0.869181334725044,4
"Arteries","Microglia5","Oligodendrocytes4",0.960266285738924,0.0397337142610764,0.761562856670632,4
"Arteries","Microglia5","Oligodendrocytes5",0.984539922761173,0.0154600772388267,0.663710628033196,4
"Arteries","Microglia5","Oligodendrocytes6",0.852514776747698,0.147485223252302,0.8341377380663,4
"Arteries","Microglia5","Oligodendrocytes7",0.570939041616249,0.429060958383751,0.903421216954479,4
"Arteries","Microglia5","Oligodendrocytes8",0.047511145961544,0.952488854038456,0.993629604746381,4
"Arteries","Microglia5","OPC1",0.585331943995306,0.414668056004694,0.894127995760121,4
"Arteries","Microglia5","OPC2",0.992150254121133,0.00784974587886711,0.584698673425996,4
"Arteries","Microglia5","OPC3",0.749994697884597,0.250005302115402,0.869181334725044,4
"Arteries","Microglia5","Pericytes",-0.264042870708038,0.735957129291962,0.965703584168629,4
