"contrast1","contrast","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","celltype","p_adj"
"Capillaries - Parenchyma","Disease_effect",0.0397085037989528,0.297981642331526,Inf,-0.658671246517489,0.738088254115395,0.13325822184299,0.990257770607142,"ExNeuron8",0.999957860652559
"Arteries - Capillaries","Amyloid_effect",0.364243732429895,0.291805556931379,Inf,-0.319661122903291,1.04814858776308,1.24824124756318,0.424749539049265,"ExNeuron8",0.837363376982837
"Arteries - Parenchyma","Amyloid_effect",0.0462809521837673,0.237315212131512,Inf,-0.50991485000698,0.602476754374514,0.195018902362314,0.979251611038858,"ExNeuron8",0.999942844910086
"Capillaries - Parenchyma","Amyloid_effect",-0.317962780246128,0.272342791447546,Inf,-0.956252740672652,0.320327180180397,-1.16750944115724,0.4726611356105,"ExNeuron8",0.865275788124811
"Arteries - Capillaries","Disease_effect",0.0963856408368326,0.475470686627969,Inf,-1.01797528694337,1.21074656861704,0.202716263163137,0.977600402604011,"ExNeuron9",0.999957860652559
"Arteries - Parenchyma","Disease_effect",-0.266813335325996,0.417927123057376,Inf,-1.24630937933582,0.712682708683827,-0.638420721235089,0.798900704841352,"ExNeuron9",0.999957860652559
"Capillaries - Parenchyma","Disease_effect",-0.363198976162828,0.45681517475299,Inf,-1.43383696979403,0.707439017468374,-0.795067669017821,0.706062833323558,"ExNeuron9",0.999957860652559
"Arteries - Capillaries","Amyloid_effect",-0.566341540318317,0.44317955438208,Inf,-1.60502172246981,0.472338641833173,-1.27790538782404,0.407668986280032,"ExNeuron9",0.837363376982837
"Arteries - Parenchyma","Amyloid_effect",0.451405062391611,0.359402091784118,Inf,-0.390925831416086,1.29373595619931,1.25598896809637,0.420259146520779,"ExNeuron9",0.837363376982837
"Capillaries - Parenchyma","Amyloid_effect",1.01774660270993,0.427551536614545,Inf,0.0156938149879562,2.0197993904319,2.38040684116981,0.0455327247935859,"ExNeuron9",0.23840354586123
"Arteries - Capillaries","Disease_effect",-0.00331484836823687,0.379158268366113,Inf,-0.891948304845854,0.88531860810938,-0.00874265087906792,0.999957860652559,"Fibroblast",0.999957860652559
"Arteries - Parenchyma","Disease_effect",0.574188384549849,0.3693939969599,Inf,-0.29156054329259,1.43993731239229,1.55440637713498,0.265666191514305,"Fibroblast",0.817456241079857
"Capillaries - Parenchyma","Disease_effect",0.577503232918086,0.396422672524549,Inf,-0.351592817735437,1.50659928357161,1.45678658902216,0.311942093446614,"Fibroblast",0.915915082885802
"Arteries - Capillaries","Amyloid_effect",-0.159747858779966,0.367831076859836,Inf,-1.02183376986504,0.70233805230511,-0.434296797714127,0.901273212904023,"Fibroblast",0.999942844910086
"Arteries - Parenchyma","Amyloid_effect",-0.0375526084058065,0.326595342985341,Inf,-0.802994305766652,0.727889088955039,-0.114982069439649,0.992737651727337,"Fibroblast",0.999942844910086
"Capillaries - Parenchyma","Amyloid_effect",0.122195250374159,0.382229455270365,Inf,-0.77363614865651,1.01802664940483,0.319690826254418,0.945222542369467,"Fibroblast",0.999942844910086
"Arteries - Capillaries","Disease_effect",1.52732233998444,0.450073121103839,Inf,0.47248570145442,2.58215897851446,3.3934982303288,0.00199433405306215,"InhNeuron1",0.0529088485983242
"Arteries - Parenchyma","Disease_effect",1.42823186240757,0.404262029686455,Inf,0.48076270576491,2.37570101905023,3.53293596115198,0.00119555310718999,"InhNeuron1",0.0529088485983242
"Capillaries - Parenchyma","Disease_effect",-0.0990904775768724,0.448144575873008,Inf,-1.1494071835156,0.951226228361852,-0.221112745555024,0.973407815160926,"InhNeuron1",0.999957860652559
"Arteries - Capillaries","Amyloid_effect",-0.757861847811861,0.439838352268346,Inf,-1.78871125260509,0.272987556981371,-1.72304630531511,0.196528051703138,"InhNeuron1",0.553487166021084
"Arteries - Parenchyma","Amyloid_effect",0.173074824460246,0.365530185077737,Inf,-0.683618485202426,1.02976813412292,0.473489827997208,0.883781456561706,"InhNeuron1",0.999942844910086
"Capillaries - Parenchyma","Amyloid_effect",0.930936672272107,0.43843131667266,Inf,-0.096615062368316,1.95848840691253,2.12333525656234,0.0851471417071803,"InhNeuron1",0.335723015874025
"Arteries - Capillaries","Disease_effect",-0.0149210995832692,0.426831780910502,Inf,-1.01528699543853,0.985444796271993,-0.034957798951709,0.999326478444776,"InhNeuron2",0.999957860652559
"Arteries - Parenchyma","Disease_effect",0.194942094121277,0.378497115542052,Inf,-0.692141818093896,1.08202600633645,0.515042482799629,0.86401200686682,"InhNeuron2",0.999957860652559
"Capillaries - Parenchyma","Disease_effect",0.209863193704546,0.437031609267463,Inf,-0.814408045867427,1.23413443327652,0.480201407070557,0.880671123028802,"InhNeuron2",0.999957860652559
"Arteries - Capillaries","Amyloid_effect",-0.404682397237548,0.41202581093198,Inf,-1.37034753254969,0.560982738074591,-0.982177296908119,0.588145769167074,"InhNeuron2",0.94456052822405
"Arteries - Parenchyma","Amyloid_effect",-0.128935409063511,0.345628581054633,Inf,-0.938985317677038,0.681114499550016,-0.373046142972563,0.926165539920434,"InhNeuron2",0.999942844910086
"Capillaries - Parenchyma","Amyloid_effect",0.275746988174037,0.418076652572891,Inf,-0.704099508249206,1.25559348459728,0.659560840044665,0.786926782313384,"InhNeuron2",0.999942844910086
"Arteries - Capillaries","Disease_effect",0.897830584687241,0.387058212332659,Inf,-0.00931797510916488,1.80497914448365,2.3196267540129,0.0531248500412274,"InhNeuron3",0.252801010541013
"Arteries - Parenchyma","Disease_effect",0.175589518711584,0.337727601268023,Inf,-0.615942858931062,0.967121896354229,0.519914623656224,0.861616041856009,"InhNeuron3",0.999957860652559
"Capillaries - Parenchyma","Disease_effect",-0.722241065975657,0.396699716422778,Inf,-1.65198642457633,0.20750429262502,-1.82062410452025,0.16280350354027,"InhNeuron3",0.625023871629784
"Arteries - Capillaries","Amyloid_effect",-0.986073990492018,0.371604294394026,Inf,-1.85700319373026,-0.115144787253778,-2.65355919015954,0.0217186852684563,"InhNeuron3",0.182516300908499
"Arteries - Parenchyma","Amyloid_effect",0.114418224566987,0.299295022177792,Inf,-0.587039694867288,0.815876144001262,0.382292440864647,0.922608306878405,"InhNeuron3",0.999942844910086
"Capillaries - Parenchyma","Amyloid_effect",1.100492215059,0.375975164454145,Inf,0.21931900109122,1.98166542902679,2.92703433392134,0.00958593595526525,"InhNeuron3",0.13228591618266
