"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Platelet Activation, Signaling And Aggregation R-HSA-76002",0.00230149412868764,0.0104507534948579,0.431707695803346,-0.249723885303738,-1.44921321075685,253,"TUBA4A;GNB1;APLP2;CALM1;PRKCB;DGKZ;PPIA;APP;CLU;GRB2;PIK3R1;PRKCZ;ACTN1;HABP4;SCG3;ARRB1;MAPK1;SOD1;ITPR1;PRKCG;GNG2;TMX3;GNB2;MAPK3;GNG3;CD63;GNAQ;MGLL;GNB5;PIK3R2;GNG7;RAPGEF4;AAMP;PRKCA;TMSB4X"
"Activation Of Kainate Receptors Upon Glutamate Binding R-HSA-451326",0.00236241140228125,0.0106857911103187,0.431707695803346,-0.49919648386688,-1.90251910058619,29,"GNB1;CALM1;PLCB1;GNG2;GNB2;GNG3;GNB5;GNG7;GRIK5"
"Eicosanoid Ligand-Binding Receptors R-HSA-391903",0.00238911863499579,0.0107648704518922,0.431707695803346,0.650623576507576,1.85259777576542,15,"PTGFR;OXER1;CYSLTR1;LTB4R2;TBXA2R;PTGDR;LTB4R;PTGER3;PTGER1;PTGIR;PTGER2;CYSLTR2;PTGDR2;PTGER4"
"Mitochondrial Translation R-HSA-5368287",0.00241151199577087,0.0108239788425562,0.431707695803346,-0.335876838779493,-1.64259133049946,88,"MRPS21;DLGAP3;MRPL41;MRPL33;MRPL50;TUFM;MRPS18A;MRPL16;MRPL20;MRPL1;GADD45GIP1;MRPL18;MRPL15;MRPL57;MRPL3;MRPL21;MRPS35;MRPS16;MRPS23;MTFMT;MRPL51;MRPS30;OXA1L;MRPL42;CHCHD1;MRPS18B;MRPS34"
"Regulation Of MECP2 Expression And Activity R-HSA-9022692",0.00244374369817659,0.0109266241217321,0.431707695803346,-0.481181785771073,-1.86964944188478,31,"CAMK2A;CALM1;CAMK2G;CAMK2B;CAMK2D;FOXG1;PRKCA;TNRC6A;AGO1;NCOR2;CREB1"
"Regulation Of RUNX2 Expression And Activity R-HSA-8939902",0.00249457013076702,0.0111113104679584,0.431707695803346,-0.353316472256253,-1.63102670111916,71,"SKP1;FBXW7;PSMC5;PSMD8;PSMD2;GSK3B;PSMA1;PSMD7;PSMB7;STUB1;PSMF1;UBB;PSMD14;PSMB1;PSMB3;PSMC1;PSMC3;CUL1;PSMC2;NR3C1;RBX1;PSMB2;PSMB5"
"G Alpha (12/13) Signaling Events R-HSA-416482",0.0026224937653425,0.0116366928675083,0.431707695803346,-0.350200885372643,-1.65010304827606,78,"GNB1;ABR;NGEF;PLEKHG5;TRIO;GNG2;GNB2;ARHGEF11;GNG3;ARHGEF9;RASGRF2;GNB5;GNG7;ARHGEF7;ARHGEF12;RHOB;ROCK2;ARHGEF17;ADRA1B;VAV2;ARHGEF3;ITSN1"
"Tight Junction Interactions R-HSA-420029",0.00266044829833958,0.011760390773342,0.431707695803346,0.520652689513954,1.74588646351761,28,"CRB3;CLDN1;CLDN2;CLDN5;PARD6B;CLDN19;CLDN9;CLDN15;CLDN17;CLDN7;CLDN8;CLDN4;PARD6G;CLDN3;CLDN11;F11R;CLDN6;CLDN23"
"EPH-ephrin Mediated Repulsion Of Cells R-HSA-3928665",0.00267401089384927,0.0117757385400834,0.431707695803346,-0.41618792990068,-1.84080176820449,49,"DNM1;AP2M1;CLTB;CLTC;EPHA4;EPHB6;AP2A1;CLTA;AP2S1;AP2B1"
"Amino Acid Transport Across Plasma Membrane R-HSA-352230",0.00268929996536785,0.011798545336783,0.431707695803346,0.499444244416379,1.7277230679082,33,"SLC6A20;SLC6A19;SLC36A1;SLC7A9;SLC38A4;SLC6A6;SLC6A18;SLC38A3;SLC7A7;SLC16A10;SLC36A2;SLC1A5;SLC38A5"
