"","Astrocytes1","Astrocytes2","Astrocytes3","Astrocytes4","Astrocytes5","Endothelial","ExNeuron1","ExNeuron11","ExNeuron13","ExNeuron14","ExNeuron2","ExNeuron3","ExNeuron4","ExNeuron5","ExNeuron7","ExNeuron8","ExNeuron9","Fibroblast","InhNeuron1","InhNeuron2","InhNeuron3","InhNeuron4","InhNeuron5","Microglia1","Microglia2","Microglia3","Microglia4","Microglia5","Oligodendrocytes1","Oligodendrocytes2","Oligodendrocytes3","Oligodendrocytes4","Oligodendrocytes5","Oligodendrocytes6","Oligodendrocytes7","Oligodendrocytes8","OPC1","OPC2","OPC3","Pericytes","SMC","VLMC1","VLMC2"
"Fibroblast",0.245777620316061,0.152359082698019,0.164448643423568,0.147831183543501,0.349737345107971,0.3567286453481,-0.137310991265249,0.370880954567921,0.315489421634365,0.256271568974793,0.320295503155795,0.360073832049583,0.379649822636871,0.374513071509489,0.29424258727097,0.136940081442699,0.354039549134617,0.403865685155297,0.46512704098816,0.406672002869302,0.359118564299055,0.304521338249638,0.339925730556758,0.430266766392421,0.377476850940615,0.44986550144996,0.397817405643253,0.400063859474165,0.282128532500536,0.0720938471834035,0.198260922813141,0.336984695595883,0.302799756809126,0.166325937006565,0.274477642623137,-0.131304701544437,0.310093733461052,0.337647784382422,0.315830588688125,0.37595297143382,0.41934592152283,0.411936472945015,0.386123248785139
"InhNeuron1",0.323724669439742,0.407126892274316,0.253788922568201,0.371117147143601,0.18778621947539,0.275243956313121,0.279595148429538,0.325953627524308,0.271144702944097,0.165571870339024,0.333616764424149,0.262790484063562,0.244077033771164,0.276459910684215,0.361959873505754,0.162783048371365,0.236732319454833,0.323435989625022,0.319312242211112,0.29760177056953,0.316887331767464,0.353610903349123,0.34519719893101,0.274054245561548,0.185356060307838,0.292916409697892,0.215630699786114,0.275002515013537,0.313407427819111,-0.114041648624178,0.12366955783875,0.331288080585408,0.316420195340008,0.135654144086219,0.212638927160834,0.00453402266573939,0.309908278549778,0.34769034278541,0.264685273392906,0.352414194299011,0.180236804926802,0.276094249585569,0.316498926198568
"InhNeuron2",0.21946401781067,0.17717679889077,0.0977233660066396,0.288260791595043,0.0454460759227913,0.200257187471296,0.23477804458791,0.273319424214988,0.183109606476925,0.219275063750126,0.325911637733076,0.203698600777686,0.259695486534836,0.174396724796284,0.29350426677514,0.156771509926649,0.24486259278213,0.263939954598538,0.192835491871039,0.268488848648672,0.232003219217328,0.240780835159452,0.278274219580364,0.292846426712505,0.143642701868108,0.209496691116972,0.227009933209988,0.270649573322486,0.134719871231307,-0.162200440018021,0.132345698452064,0.255242819089609,0.224072397398383,0.085324130570755,0.165974272504997,-0.0339391235505868,0.245511684971591,0.298026917205754,0.18497815218675,0.221239836064857,0.091879786726852,0.170999050855761,0.180805416683069
"InhNeuron3",0.254980382894409,0.347583618732696,0.258642242604767,0.353533922065198,0.161864521688165,0.295444545044986,0.220193590433326,0.351934810849112,0.31302077182485,0.233149190603035,0.337248881365718,0.239167727346289,0.247322494718472,0.293154351848207,0.389279481426078,0.182897907946131,0.289273795308516,0.32812484964593,0.35281484689035,0.315136007558162,0.394717159390623,0.341836266057815,0.349963040235843,0.282390968695736,0.222387557025198,0.29844506554344,0.291170334212495,0.293520012946852,0.220615237920281,-0.0404125496988545,0.228155904595695,0.339036946642348,0.307367896180241,0.208128523752663,0.247214021091122,0.0929470272539989,0.306788786976166,0.339383362420012,0.231899994313882,0.336095911681472,0.11820738582932,0.284249016957752,0.341951737983703
"InhNeuron4",0.257923167429919,0.294742965616484,0.194352373079295,0.401129350426677,0.112372554422706,0.179024349704978,0.370945688829403,0.280485681918584,0.227030928105604,0.197708057228586,0.327003372305108,0.228192645663023,0.23677255967143,0.153865466458467,0.326035857532137,0.21764970891452,0.194672545237439,0.2660324458616,0.229613300266373,0.26143631329633,0.302640545517371,0.400679709745568,0.236515372200134,0.295939674666597,0.11773500067796,0.224154627406212,0.243294973909468,0.218249813014211,0.183966898047912,-0.143850901249634,0.0812616182690583,0.242784098116145,0.302161162067472,0.113976914362696,0.192793502079807,-0.0660018283054932,0.231019958272645,0.316994055820179,0.149720724148941,0.2401877293583,0.0723457859307956,0.186190607408574,0.210765132727106
"InhNeuron5",0.239391672899526,0.350470416879896,0.224543032975108,0.413322136055671,0.0753043166380174,0.201684840373184,0.364858918675397,0.277030272015116,0.254182576861001,0.202605116631019,0.315818341665683,0.239127487129692,0.229618548990277,0.224186119749636,0.407165382916278,0.144274298311223,0.233217424013787,0.318260747855678,0.241564644595783,0.260668250031711,0.292725706062713,0.333611515700245,0.301520817751184,0.31619974893604,0.139079811220897,0.247926097967432,0.238287691305051,0.224801970021039,0.215847647040813,-0.162555603668858,0.105883382102726,0.28470915508667,0.246152029287879,0.171924575837499,0.208971818726572,-0.0108027485817511,0.280018545491127,0.378773285744903,0.234527855415152,0.261130137735263,0.0394152921570943,0.192174152659135,0.257310816307785
"Microglia1",0.128074986768842,0.215728675965656,0.222450541712046,0.112446036557362,0.257279323964361,0.387466922104563,-0.375865492702087,0.319434712435539,0.195879751735359,0.242096515284721,0.202412663421206,0.171616650701798,0.299820231206288,0.240336443202246,0.213494469157186,0.0951724861892952,0.264104414614197,0.26645234377392,0.267614061331339,0.258775210277001,0.168547896792592,0.132875819566368,0.215039343559597,0.287555713017273,0.317004553267987,0.379140696418183,0.264688772542176,0.431598192689402,0.193650793650794,0.0441461419692337,0.255902408726878,0.215634198935384,0.391036054359284,0.193748769830335,0.183686966106365,0.248055566490397,0.21912285075691,0.230475840561264,0.305697052404134,0.39486587323457,0.357941100569924,0.306045217756433,0.341279901323991
"Microglia2",0.0863126402393418,0.0978510849549703,0.0389848967969662,0.0506090706696934,0.00487169057023011,0.0833733548531013,-0.0339041320578934,0.018520122295267,0.0975991462075783,0.0678896193362988,0.00064471825287477,0.0152991553928451,0.0609368097381324,0.0118437454893779,0.104831887747291,0.0403198222432171,0.0967576008083035,0.0161984367550639,-0.0296474169717487,0.047717023798589,-0.0443053532609884,-0.0108324913505404,-0.0157995337383599,0.0226473688584463,0.0692297935064537,0.129413411364362,0.016550101256632,0.0653667327131091,0.108129835933639,-0.024844834599588,0.0526105840517524,0.029461962060474,0.134984057001142,0.0762595843885455,0.0140342129319809,0.106168562768177,0.0209695267838007,0.0537950460794219,0.0438417159828017,0.0497990176138426,0.0400311424284971,0.0109427145525244,0.0576895992161906
"Microglia3",0.228001942027844,0.159780778298276,0.12162255551619,0.308655583111356,0.0844860843207495,0.25949078630258,0.317828602920915,0.332369317709632,0.324324773539433,0.222499529801817,0.318075292944403,0.252473242442931,0.249840132617757,0.217382023995416,0.40715488546847,0.124845271993247,0.29339929229706,0.302273134844091,0.243580154574919,0.313055763317543,0.28557519453083,0.277025023291212,0.238702340493468,0.347205710611608,0.136133527536118,0.362717439322565,0.234900514812336,0.299613781399397,0.260794219405407,-0.209974324992236,0.0979035721940103,0.295402555253754,0.287225043411321,0.0972982193704156,0.240542893009137,-0.0438942032218417,0.208396208671767,0.359809646279748,0.170262479934566,0.227587292839428,0.130226963569482,0.241816583343175,0.280987809838733
"Microglia4",-0.0237391034304785,0.170253732061393,0.142390006429687,-0.0733500417710944,0.138708901398348,0.146114850826893,-0.48432512345436,0.101682653404891,0.0459691987385567,0.144870903261645,-0.00753629273882787,0.0464485821884554,0.121207906327774,0.0322052950876318,0.0295966793073434,-0.0206248605807713,0.0777747160221671,0.077050392123415,0.0355067424232483,0.0760636320294628,0.0168562768176987,0.0191359725666697,0.0721935729375796,0.0486705419744825,0.200059485537579,0.0965738954716634,0.100877849072944,0.185067380493118,-0.0429161910010629,0.178835395644434,0.268873755068299,0.0706119574678406,0.143686441233975,0.220029130417667,0.0568375563691078,0.359400245815236,0.0803518394590315,-0.0600742694432416,0.175855870041596,0.162391143653199,0.113801956899229,0.103269517598534,0.153120147664099
