"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"G2/M DNA Damage Checkpoint R-HSA-69473",0.477941176470588,0.713408741489128,0.0658311958368866,-0.259359389878723,-0.992070625272519,73,"YWHAH;YWHAG;YWHAB;RAD17;CCNB1;BABAM1;CHEK2;H2BC14;UBE2V2;ABRAXAS1;HERC2;H2BC13;H2BC11;POLR1A;H2BC9;H2BC15;H2BC3;UBE2N;RBBP8;EXO1;RFC5;POLR1B;TP53;WEE1;KAT5;UIMC1;RMI1;H2BC1"
"TP53 Regulates Transcription Of Cell Death Genes R-HSA-5633008",0.479876160990712,0.713408741489128,0.106729884364606,0.262548647994678,0.997847135220641,44,"NDRG1;TMEM219;CASP6;CASP2;MPZ;TNFRSF10D;BCL2L14;IGFBP3;CASP1;STEAP3;PIDD1;BIRC5;PRELID3A;TNFRSF10A;APAF1;TP53AIP1;PRELID1;BNIP3L;TNFRSF10C"
"Processing Of Capped Intronless Pre-mRNA R-HSA-75067",0.484567901234568,0.719453868626897,0.0675188953767744,-0.306557687251493,-0.980924273652348,29,"FIP1L1;SNRPB;CPSF4;WDR33;PABPN1;LSM11;NUDT21;NCBP2;CSTF3;CPSF6;CPSF2;SLBP;PAPOLA;CSTF2;CSTF2T;CPSF3;SNRPF;CPSF1"
"Synthesis Of Bile Acids And Bile Salts Via 27-Hydroxycholesterol R-HSA-193807",0.486111111111111,0.72082803896654,0.0992333343771191,0.333790217107435,0.971029183291463,15,"HSD3B7;CYP8B1;CYP27A1;CYP7B1;RXRA"
"DNA Damage/Telomere Stress Induced Senescence R-HSA-2559586",0.489164086687306,0.724434630918892,0.105520936843198,0.240574202883052,0.977727643443685,58,"H2AC19;H2BC17;H2AJ;HMGA2;H2AC6;H2AB1;TINF2;H2BC5;H3-4;H2BC21;TERF1;H2AX;CDKN1B;POT1;CCNA1"
"Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125",0.493055555555556,0.729272285593578,0.0615706755421678,-0.245225041996734,-0.982871453024739,91,"THY1;NEGR1;LY6H;LSAMP;LY6E;NRN1;CNTN3;OPCML;DPM3;SPRN;ART4;PLAUR;RTN4RL2;MDGA2;PGAP1"
"Defective Pyroptosis R-HSA-9710421",0.497076023391813,0.73428825227626,0.100990587455923,0.261569413113039,0.979413058149552,39,"H2AC19;H2BC17;H2AJ;H3-3B;H2AC6;H2AB1"
"Disassembly Of Destruction Complex And Recruitment Of AXIN To Membrane R-HSA-4641262",0.5,0.737673830594185,0.0985499803531691,0.2832206268301,0.980712934553805,29,"WNT8A;DVL3;FZD2;AXIN1;LRP6;CAV1;PPP2R5A"
"Processing Of Intronless Pre-mRNAs R-HSA-77595",0.500797448165869,0.737917452032285,0.0675188953767744,-0.337477384540236,-0.976569110922637,20,"FIP1L1;CPSF4;WDR33;PABPN1;NUDT21;NCBP2;CSTF3;CPSF6;CPSF2;PAPOLA;CSTF2;CSTF2T;CPSF3;CPSF1"
"Apoptotic Cleavage Of Cellular Proteins R-HSA-111465",0.501519756838906,0.738049881754102,0.0650877566917313,-0.289533426446725,-0.975577309255426,38,"SATB1;SPTAN1;STK24;MAPT;BCAP31;DSG3;LMNB1;GAS2"
"Negative Regulation Of TCF-dependent Signaling By WNT Ligand Antagonists R-HSA-3772470",0.502777777777778,0.738969353484467,0.0972150808846466,0.329182422043324,0.957624645804858,15,"LRP6;DKK1;WNT9A;LRP5;DKK4;SFRP2;SOST"
"RHO GTPases Activate ROCKs R-HSA-5627117",0.506289308176101,0.742260832464208,0.0662842187012672,-0.346138946862681,-0.982586998509404,18,"ROCK2;LIMK1;VPS72;PPP1R12A"
"Signaling By NOTCH3 R-HSA-9012852",0.506024096385542,0.742260832464208,0.101713902282311,0.253597571332203,0.970818422698978,47,"RPS27A;PSEN1;YBX1;RBPJ;DLL1;KAT2B;PSENEN;JAG1;HEYL;MAML1;APH1B"
"Chromosome Maintenance R-HSA-73886",0.507407407407407,0.742966680607835,0.114750719227023,0.217202132050812,0.987235202980209,114,"RSF1;H2AC19;POLD2;H2BC17;H2AJ;NPM1;H3-3B;BLM;POLD4;H2AC6;H2AB1;TINF2;POLR2L;POLD1;H2BC5;H3-4;RFC3;H2BC21;POLR2I;TERF1;H2AX;PPP6C;FEN1;POT1;CCNA1;RUVBL2;CENPK;ATRX;CENPM;CTC1;DSCC1;DKC1;SMARCA5;H2BC4;CENPI;GAR1;SLC19A1"
"Aggrephagy R-HSA-9646399",0.508152173913043,0.743124795684864,0.0952879846194844,0.28969330071583,0.959569039483679,23,"DYNC1LI2;RPS27A;CFTR"
"IRS-related Events Triggered By IGF1R R-HSA-2428928",0.508982035928144,0.743406803414448,0.0636424081651019,-0.273124437089578,-0.980022745702757,51,"FGF13;PIK3R1;PIK3R2;GRB2;TRIB3;FLT3;FGF7;PIK3CA;FGF20;IRS2;SOS1;FGF10;IRS4;FGFR3;PIK3CB;PDPK1;FGF8;KLB"
"Cellular Senescence R-HSA-2559583",0.512396694214876,0.74745867768595,0.121543282035469,0.201887429466319,0.969186762706153,160,"MAP4K4;RPS27A;H2AC19;RELA;CBX2;H2BC17;H2AJ;DAND5;H3-3B;E2F1;PHC3;HMGA2;TFDP1;H2AC6;H2AB1;CBX4;CDK4;TINF2;STAT3;MDM4;H2BC5;MAP2K3;CDKN2D;H3-4;MAPKAPK2;CDKN2C"
"Signaling By FGFR2 In Disease R-HSA-5655253",0.513313609467456,0.747861401059327,0.0626618230932491,-0.277936862739555,-0.964081122469719,42,"FGF13;PIK3R1;GRB2;FGF7;POLR2K;PIK3CA;FGF20;SOS1;FGF10;POLR2C;POLR2F;FGF8;NCBP2;POLR2H"
"Post-translational Protein Phosphorylation R-HSA-8957275",0.514598540145985,0.74879862387826,0.112843355675562,0.217502997817067,0.979124275697422,105,"TIMP1;ANO8;APOB;KTN1;NOTUM;APOA5;TF;LAMC1;MELTF;C3;FSTL1;MFGE8;DNAJC3;PDIA6;CXXC1;BMP15;SERPINA1;EVA1A;FN1;APOA1;VWA1;SERPINA10;LTBP1;IGFBP5;RCN1;FSTL3;PRSS23;MEN1"
"Spry Regulation Of FGF Signaling R-HSA-1295596",0.515576323987539,0.749287135857357,0.0649407684612899,-0.349047640493882,-0.951819365193282,15,"PPP2R1A;GRB2;MAPK1;MAPK3;PPP2CA"
"ABC Transporters In Lipid Homeostasis R-HSA-1369062",0.516393442622951,0.749541228284806,0.0946646223153342,0.312576828462987,0.960399778396785,18,"ABCA2;PEX3;ABCG1;APOA1"
