"region","celltype","contrast","full_estimate","full_p_adj","min_loo_estimate","max_loo_estimate","max_abs_delta","n_loo","any_sig_flip","any_direction_flip"
"Capillaries","ExNeuron14","AD_Amyloid_vs_Control",0.923273311280186,6.2141558484535e-05,0.646731552586788,1.16828673702191,0.276541758693398,4,FALSE,FALSE
"Parenchyma","ExNeuron1","AD_Amyloid_vs_Control",0.755227824967386,0.00669590973761715,0.481746661841248,0.970086448045882,0.273481163126138,4,TRUE,FALSE
"Capillaries","Microglia2","AD_Amyloid_vs_Control",0.614718391999277,0.00832610544810161,0.345541048366033,0.852935889135385,0.269177343633244,4,TRUE,FALSE
"Arteries","Oligodendrocytes1","AD_Amyloid_vs_Control",0.437425671799546,0.0981270825698281,0.169523738152305,0.547510540033701,0.267901933647241,4,FALSE,FALSE
"Parenchyma","VLMC2","AD_Amyloid_vs_Control",0.674934563553841,0.00050461008427325,0.503274608948163,0.937022084028167,0.262087520474326,4,TRUE,FALSE
"Parenchyma","Oligodendrocytes3","AD_Amyloid_vs_Control",0.745560199786097,0.00050461008427325,0.487319724182281,0.990850775516722,0.258240475603816,4,TRUE,FALSE
"Capillaries","OPC3","AD_Amyloid_vs_Control",0.731995490506368,0.00377554026523964,0.475445513605963,0.936716568553719,0.256549976900405,4,TRUE,FALSE
"Parenchyma","ExNeuron12","AD_Amyloid_vs_Control",0.819171162857412,3.06760225953018e-05,0.566283726298587,0.956030401847309,0.252887436558824,4,FALSE,FALSE
"Arteries","Oligodendrocytes7","AD_Amyloid_vs_Control",0.443812087760018,0.0975894387914503,0.193796254390472,0.561190387190828,0.250015833369546,4,FALSE,FALSE
"Arteries","ExNeuron14","AD_Amyloid_vs_Control",0.760051055031065,1.38941557704705e-07,0.593189480340803,1.00755279441375,0.247501739382687,4,FALSE,FALSE
"Parenchyma","ExNeuron8","AD_Amyloid_vs_Control",0.756839386018336,0.00050461008427325,0.545565349014365,1.00284442062939,0.246005034611052,4,TRUE,FALSE
"Capillaries","OPC2","AD_Amyloid_vs_Control",0.868214881592276,0.000377089226867912,0.62617320428101,1.1071471665485,0.242041677311266,4,FALSE,FALSE
"Arteries","Microglia1","AD_Amyloid_vs_Control",0.9664200556857,5.00456038524269e-05,0.75053558865616,1.20679004975026,0.240369994064563,4,FALSE,FALSE
"Capillaries","ExNeuron1","AD_Amyloid_vs_Control",1.30271869868549,1.84973467516208e-06,1.13665395608796,1.54172393415464,0.239005235469151,4,FALSE,FALSE
"Parenchyma","Oligodendrocytes5","AD_Amyloid_vs_Control",0.630305081551775,0.0196641980740639,0.394407634200372,0.799641788297901,0.235897447351403,4,TRUE,FALSE
"Parenchyma","OPC2","AD_Amyloid_vs_Control",0.740208078947575,2.85368698958024e-05,0.541184563753058,0.973720562676186,0.23351248372861,4,TRUE,FALSE
