"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Insulin Receptor Recycling R-HSA-77387",2.31847218803148e-06,1.6201539182232e-05,0.627256739718528,0.704007876621824,2.42686273093018,26,"ATP6V0C;ATP6V1B2;ATP6V1H;ATP6AP1;ATP6V0A1;ATP6V0E2;ATP6V1A;ATP6V0D1;ATP6V1G2;ATP6V1F;ATP6V1G1;ATP6V1C1;ATP6V1D;ATP6V1E1"
"Peptide Chain Elongation R-HSA-156902",2.43423907810665e-06,1.6909267881848e-05,0.627256739718528,0.484526018400101,2.17887364640732,83,"RPL31;RPL41;RPS21;RPS15;RPL35A;RPS25;RPL10A;RPL38;RPS4Y1;FAU;RPL23;RPL15;RPL14;RPL4;RPL37A;RPL9;RPL26;RPS20;RPS14;RPS11;RPS24;RPL27;RPLP1;RPL18;RPS4X;RPS3A;RPL36A;RPL7A;RPS7;RPL39L;RPS8;RPL35;RSL24D1;RPL28;RPS9;RPS29;RPS27L;RPS12;UBA52;RPL6;RPL27A"
"Amino Acids Regulate mTORC1 R-HSA-9639288",2.51909272788815e-06,1.73951551091448e-05,0.627256739718528,0.542829927355881,2.22899959749283,54,"ATP6V0C;ATP6V1B2;ATP6V1H;ATP6V0E2;ATP6V1A;ATP6V0D1;ATP6V1G2;ATP6V1F;ATP6V1G1;RRAGA;ATP6V1C1;ATP6V1D;ATP6V1E1;RHEB;RRAGD;LAMTOR2;SEH1L;FLCN;CASTOR2;FNIP2;BMT2;LAMTOR1;NPRL3;LAMTOR3"
"M Phase R-HSA-68886",2.54242554506799e-06,1.74530035946726e-05,0.627256739718528,0.313492800336521,1.72862938154198,369,"TUBA4A;YWHAG;TUBA1C;PRKCB;MAPK1;DYNLL1;ENSA;DYNC1H1;YWHAE;TUBB2A;TUBB4A;PAFAH1B1;TUBB2B;PPP2CB;RAB2A;TUBB4B;DCTN1;PPP2CA;PRKCA;PSMD7;PSMD2;PRKAR2B;TUBG2;H2AZ1;DCTN3;RANGAP1;PSMA1;PPP1CC;RAN;PSMD8;DCTN2;ANAPC5;NUDC;PSMC5;PSMC3;PSMB7;SEM1;CSNK1E;PPP2R5B;DYNLL2;PPP2R1A;DYNC1I1;SUMO1;CHMP4B;TUBA8;CDC16;SIRT2;LPIN1;PSMA5;CEP57;SEH1L;PSMB3;H3-3B;PPP2R5C;KPNB1;TAOK1;IST1;RAB1A;VPS4A;RANBP2;LPIN2;H2AZ2;MAPK3;PSMB5;GORASP1;PSMD14;CENPT;ARPP19;UBE2E1;ANAPC11;PSMB2;CSNK1D;CLIP1;MZT1;ANAPC16;PDS5B;NUP98;PPP2R2A;TUBGCP3;CLASP2;BUB3;PSMD3;UBB;PSMC2;PSMF1;BANF1;TUBGCP2;PSMB6;NEK6;NCAPH2;PPP2R5D;BIRC5;GOLGA2;CTDNEP1;CCP110;CHMP2B;NEK9;PSMA3;PSMC4;PSMA4;PPP2R1B;PSMC1;NUP205;HSP90AA1;TNPO1;CDC27;KANSL1;PSMC6"
"RHO GTPase Effectors R-HSA-195258",2.66002672666805e-06,1.81535157311206e-05,0.627256739718528,0.343363247239794,1.80584600344049,258,"KIF5A;CALM1;YWHAG;YWHAB;YWHAH;PRKCB;CYFIP2;EVL;MAPK1;DYNLL1;DYNC1H1;KLC1;YWHAE;GRB2;PAFAH1B1;ABI2;WASL;PPP1CB;PPP2CB;ARPC2;WASF1;PRKCZ;PFN2;ACTR2;PPP2CA;PRKCA;CTTN;YWHAQ;H2AZ1;RANGAP1;PPP1CC;NUDC;ABI1;YWHAZ;CTNNB1;NCKAP1;PPP2R5B;DYNLL2;PPP2R1A;DYNC1I1;BRK1;RHOQ;ARPC1A;CDC42;ACTR3;LLGL1;SEH1L;ROCK2;H3-3B;PPP2R5C;ARHGEF7;TAOK1;WIPF3;RANBP2;H2AZ2;MAPK11;MAPK3;CENPT;NCKIPSD;FMNL2;WIPF2;PPP1R12B"
"Glucagon Signaling In Metabolic Regulation R-HSA-163359",2.68592470664903e-06,1.82236868177873e-05,0.627256739718528,0.640166831401919,2.3364368799178,32,"PRKAR1B;GNB1;GNAS;ADCY1;PRKAR1A;GNG7;GNG2;PRKACB;PRKCA;PRKAR2B;ADCY2;GNG3;GNB2"
"Oncogenic MAPK Signaling R-HSA-6802957",2.85496545570124e-06,1.92586398081118e-05,0.627256739718528,0.496248333641043,2.19018444854345,77,"CALM1;CAMK2A;YWHAB;PEBP1;CAMK2G;CAMK2B;MAPK1;MAP2K1;CAMK2D;CNKSR2;PPP1CB;ARRB1;PAPSS1;PPP1CC;FAM131B;MPRIP;NF1;MAPK3;TRAK1;TENT4A;BRAF;QKI;MAP2K2;CLCN6;KSR1"
"Lysosome Vesicle Biogenesis R-HSA-432720",2.98644309877812e-06,2.00297649211153e-05,0.627256739718528,0.628867298314412,2.31773536776914,34,"VAMP2;APP;CLTC;CLTA;DNAJC6;CLTB;HSPA8;ARRB1;BLOC1S1;AP1S1;SH3GL2;DNASE2;AP1M1;AP1G1;AP1S2;AP4S1;DNM2;HGS;AP1B1"
"Selenocysteine Synthesis R-HSA-2408557",3.30542297407619e-06,2.20424492042681e-05,0.627256739718528,0.453446893312473,2.05474756462024,89,"RPL31;RPL41;RPS21;SARS1;RPS15;RPL35A;RPS25;RPL10A;RPL38;RPS4Y1;FAU;RPL23;RPL15;RPL14;RPL4;RPL37A;RPL9;RPL26;RPS20;RPS14;RPS11;RPS24;RPL27;SECISBP2;RPLP1;RPL18;RPS4X;RPS3A;RPL36A;RPL7A;RPS7;RPL39L;RPS8;RPL35;RSL24D1;RPL28;RPS9;RPS29;RPS27L;RPS12;UBA52;RPL6"
"Influenza Infection R-HSA-168255",3.38568921397484e-06,2.24494279131173e-05,0.627256739718528,0.394849651679476,1.93867016700364,155,"CLTC;CLTA;SLC25A6;RPL31;PABPN1;POLR2E;RPL41;RPS21;RPS15;RPL35A;CANX;RAN;IPO5;RPS25;RPL10A;POLR2A;RPL38;RPS4Y1;FAU;SEH1L;RPL23;RPL15;KPNB1;RPL14;RPL4;RANBP2;PARP1;RPL37A;RPL9;POLR2F;KPNA5;RPL26;RPS20;POLR2I;RPS14;RPS11;RPS24;RPL27;NUP98;CALR;EIF2AK2;RPLP1;POLR2J;RPL18;NUP205;HSP90AA1;RPS4X;RPS3A;RPL36A;RPL7A;TPR;RPS7;RPL39L;KPNA2;RPS8;RPL35;NUP58;RSL24D1;NUP133;BLOC1S6;RPL28;RPS9;GNL3;RPS29;KPNA1;NUP93;RPS27L"
