Scan Name,ROI,Segment (Name/ Label),Segment Tags,Custom Segment Name,LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA_1_0,ROI_ID,Scan_ID,disease_status,pathology,region,AnnData_ROI,celltype,rel_abundance
BRC 2613 BRC 2509,141,Full ROI,,,HW0110125,2509_F 002,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,141,Oligodendrocytes4,0.00127965
BRC 2613 BRC 2509,142,Full ROI,,,HW0110125,2509_F 003,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,142,Oligodendrocytes4,-0.13847907
BRC 2613 BRC 2509,143,Full ROI,,,HW0110125,2509_F 004,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,143,Oligodendrocytes4,-0.021487445
BRC 2613 BRC 2509,144,Full ROI,,,HW0110125,2509_F 005,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,144,Oligodendrocytes4,0.031683385
BRC 2613 BRC 2509,145,Full ROI,,,HW0110125,2509_F 006,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,145,Oligodendrocytes4,-0.019454047
BRC 2613 BRC 2509,146,Full ROI,,,HW0110125,2509_F 007,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,146,Oligodendrocytes4,0.032079645
BRC 2613 BRC 2509,147,Full ROI,,,HW0110125,2613_B,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,147,Oligodendrocytes4,0.026941635
BRC 2613 BRC 2509,148,Full ROI,,,HW0110125,2613_B 002,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,148,Oligodendrocytes4,0.025922954
BRC 2613 BRC 2509,149,Full ROI,,,HW0110125,2613_B 003,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,149,Oligodendrocytes4,0.023097659
BRC 2613 BRC 2509,150,Full ROI,,,HW0110125,2613_B 004,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,150,Oligodendrocytes4,0.028463384
