ROI,Scan_ID,disease_status,pathology,region,celltype,rel_abundance
179,BRC 2495 BRC 2052,Control,AmyloidFree,Parenchyma,Oligodendrocytes4,0.025974678
180,BRC 2495 BRC 2052,Control,AmyloidFree,Parenchyma,Oligodendrocytes4,0.037056983
181,BRC 2495 BRC 2052,Control,AmyloidFree,Parenchyma,Oligodendrocytes4,0.03239342
182,BRC 2495 BRC 2052,Control,AmyloidFree,Parenchyma,Oligodendrocytes4,0.030450802
183,BRC 2495 BRC 2052,Control,AmyloidFree,Parenchyma,Oligodendrocytes4,0.03428878
0,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Oligodendrocytes1,0.018792402
1,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Oligodendrocytes1,0.017493436
2,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Oligodendrocytes1,0.021662923
3,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Oligodendrocytes1,0.016339576
4,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Oligodendrocytes1,0.022453409
5,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Oligodendrocytes1,0.042561684
6,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Oligodendrocytes1,0.025281899
7,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Oligodendrocytes1,0.05315089
8,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Oligodendrocytes1,0.023008494
9,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Oligodendrocytes1,0.043152265
10,BRC 2534 BRC 2732,AD-CAA,Amyloid,Capillaries,Oligodendrocytes1,0.010221229
11,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes1,0.025626007
12,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes1,0.004257629
13,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes1,0.012944736
14,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes1,0.014931315
15,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes1,0.041433368
16,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes1,0.014956592
17,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes1,0.019956032
18,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes1,0.04161951
19,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes1,0.15733618
20,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes1,0.051929727
21,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes1,0.038388245
22,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes1,0.042070325
23,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes1,0.030761322
24,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes1,0.05435947
25,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes1,0.07660551
